id,name,tier,glass,method,garnish,ing_count,ing_1_amount,ing_1_name,ing_2_amount,ing_2_name,ing_3_amount,ing_3_name,ing_4_amount,ing_4_name,ing_5_amount,ing_5_name,ing_6_amount,ing_6_name,ing_7_amount,ing_7_name,ing_8_amount,ing_8_name,ing_9_amount,ing_9_name,ing_10_amount,ing_10_name
clover-club,Clover Club,2,Coupe glass,Dry shake all ingredients without ice. Shake again with ice. Strain into chilled glass.,Lemon twist,5,6 cl,Gin,1.5 cl,Lemon juice (freshly squeezed),1.5 cl,Raspberry (framboise) sugar syrup,1.5 cl,Pasteurised egg white,3 whole,Raspberries (fresh),,,,,,,,,,
bramble,Bramble,2,Double old-fashioned,Stir all ingredients over ice. Strain into glass over fresh ice.,Lemon twist,4,4.5 cl,Rutte Dry Gin,3 cl,Lemon juice (freshly squeezed),1.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.25 cl,Giffard Crème de Mûre liqueur,,,,,,,,,,,,
corpse-reviver-2,Corpse Reviver #2,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,6,2.25 cl,Rutte Dry Gin,2.25 cl,De Kuyper Triple Sec (40%),2.25 cl,Lillet Blanc (or other aromatized wine),2.25 cl,Lemon juice (freshly squeezed),0.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup) (optional)",2 dash,La Fée Parisienne absinthe,,,,,,,,
vieux-carre,Vieux Carré,2,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Lemon twist,6,2.25 cl,Bourbon whiskey,2.25 cl,Rémy Martin 1738 Cognac,2.25 cl,Martini Rosso sweet vermouth,1 cl,Bénédictine D.O.M.,2 dash,Peychaud's or other Creole-style bitters,1 dash,Angostura Aromatic Bitters,,,,,,,,
suffering-bastard,Suffering Bastard,2,Tiki mug or collins,Build ingredients directly in glass over ice. Stir gently.,Lime wheel,6,3 cl,Rémy Martin 1738 Cognac,3 cl,Rutte Dry Gin,2 cl,Lime cordial (sweetened lime juice),1 cl,Lime juice (freshly squeezed),3 dash,Angostura Aromatic Bitters,10 cl,Thomas Henry Ginger Beer,,,,,,,,
trinidad-sour,Trinidad Sour,2,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,4,4.5 cl,Angostura Aromatic Bitters,1.5 cl,Straight rye whiskey (100 proof / 50% alc./vol.),3 cl,Giffard Orgeat Syrup,2.25 cl,Lemon juice (freshly squeezed),,,,,,,,,,,,
americano,Americano,3,Collins glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Orange twist,3,4.5 cl,Italian red bitter liqueur,4.5 cl,Martini Rosso sweet vermouth,7.5 cl,Thomas Henry Soda Water,,,,,,,,,,,,,,
bellini,Bellini,3,Flute glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Lemon twist,4,6 cl,Peach purée,1 cl,Peachtree peach schnapps,0.75 cl,Lemon juice (freshly squeezed),6 cl,Prosecco sparkling wine,,,,,,,,,,,,
black-russian,Black Russian,3,Old-fashioned glass,Shake all ingredients vigorously with ice. Fine strain into glass.,Lemon twist,2,6 cl,Ketel One Vodka,2.25 cl,Coffee liqueur,,,,,,,,,,,,,,,,
blood-and-sand,Blood & Sand,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,4,2.25 cl,Orange juice (freshly squeezed),2.25 cl,Antica Formula or other well aged sweet vermouth,3.5 cl,Dewar's 12 Year Old 'The Ancestor' blended Scotch whisky,2.25 cl,Giffard Cherry Brandy Liqueur,,,,,,,,,,,,
casino,Casino,3,Nick & Nora glass,Shake all ingredients with ice. Strain into chilled glass.,Luxardo cherry,4,4.5 cl,Portobello Old Tom gin,2.25 cl,Luxardo Maraschino liqueur,1.5 cl,Lemon juice (freshly squeezed),1 dash,Orange Bitters by Angostura,,,,,,,,,,,,
champagne-cocktail,Champagne Cocktail,3,Flute glass,Shake all ingredients with ice. Strain into glass.,Orange twist,4,1 cube,Sugar cube,3 dash,Angostura Aromatic Bitters,3 cl,Rémy Martin 1738 Cognac,10 cl,Brut Champagne,,,,,,,,,,,,
cosmopolitan,Cosmopolitan,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,3 cl,Ketel One Vodka,3 cl,De Kuyper Triple Sec (40%),4.5 cl,Cranberry juice (sweetened),1.5 cl,Lime juice (freshly squeezed),1 dash,Orange Bitters by Angostura,,,,,,,,,,
cuba-libre,Cuba Libre,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Lime wheel,4,5 cl,Havana Club 3 Year Old rum,0.5 cl,Lime juice (freshly squeezed),1 dash,Angostura Aromatic Bitters,12 cl,Cola (e.g. Coca Cola & Pepsi Cola),,,,,,,,,,,,
derby,Derby,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,4,4.5 cl,Havana Club 3 Year Old rum,3 cl,Orange juice (freshly squeezed),1.5 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",,,,,,,,,,,,
dirty-martini,Dirty Martini,3,Martini glass,Stir all ingredients over ice. Strain into glass.,Olive,3,6.25 cl,Rutte Dry Gin,1.5 cl,Martini Extra Dry vermouth,5 dash,Olive bitters,,,,,,,,,,,,,,
el-diablo,El Diablo,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Lime wheel,4,4.5 cl,Patrón Reposado tequila,1.5 cl,Giffard Noir de Bourgogne Cassis,2.25 cl,Lime juice (freshly squeezed),6 cl,Thomas Henry Ginger Beer,,,,,,,,,,,,
godfather,Godfather,3,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Orange twist,2,6 cl,Dewar's 12 Year Old Scotch whisky,2 cl,Disaronno amaretto,,,,,,,,,,,,,,,,
golden-dream,Golden Dream,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,4,2.5 cl,De Kuyper Triple Sec (40%),2.5 cl,Galliano L'Autentico liqueur,3.75 cl,Orange juice (freshly squeezed),2.5 cl,Single cream / half-and-half,,,,,,,,,,,,
grasshopper,Grasshopper,3,Coupe glass,Muddle mint and sugar gently in shaker. Add remaining ingredients. Shake with ice. Fine strain into glass.,Mint sprig,3,3 cl,Giffard Peppermint Pastille crème de menthe,3 cl,Dutch Cacao white crème de cacao,3 cl,Single cream / half-and-half,,,,,,,,,,,,,,
hanky-panky,Hanky Panky,3,Nick & Nora glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,4.5 cl,Rutte Dry Gin,4.5 cl,Martini Rosso sweet vermouth,0.25 cl,Fernet liqueur,0.125 cl,Orange juice (freshly squeezed) (optional),2 drop,Difford's Saline Solution (or ½ pinch salt) (optional),,,,,,,,,,
harvey-wallbanger,Harvey Wallbanger,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Orange twist,5,4.5 cl,Ketel One Vodka,6.75 cl,Orange juice (freshly squeezed),0.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",2 dash,Orange Bitters by Angostura,1.25 cl,Galliano L'Autentico liqueur,,,,,,,,,,
hemingway-daiquiri,Hemingway Daiquiri,3,Flute glass,Shake all ingredients with ice. Strain into chilled glass.,Lime wheel,4,0.75 cl,La Fée Parisienne absinthe,1.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.25 cl,Lime juice (freshly squeezed),12 cl,Brut Champagne,,,,,,,,,,,,
horses-neck,Horse's Neck,3,Highball (max 10oz/300ml),Build ingredients directly in glass over ice. Stir gently.,Lemon twist,3,4.5 cl,Bourbon whiskey,2 dash,Angostura Aromatic Bitters,Top up with,Thomas Henry Ginger Ale,,,,,,,,,,,,,,
irish-coffee,Irish Coffee,3,Toddy glass,Shake all ingredients vigorously with ice. Fine strain into glass.,Three coffee beans,4,3 cl,Irish whiskey,1 cl,Demerara / dark Muscovado sugar syrup (2 sugar to 1 water),6 cl,Filter coffee (hot),3 cl,Double cream / heavy cream,,,,,,,,,,,,
john-collins,John Collins,3,Collins glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Orange twist,4,6 cl,Rutte Dry Gin,2.5 cl,Lemon juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",5 cl,Thomas Henry Soda Water,,,,,,,,,,,,
kir-royale,Kir Royale,3,Flute glass,Shake all ingredients with ice. Strain into glass.,None,2,1.5 cl,Giffard Noir de Bourgogne Cassis,12 cl,Brut Champagne,,,,,,,,,,,,,,,,
lemon-drop,Lemon Drop,3,Shot glass,Shake all ingredients with ice. Strain into glass.,Lemon twist,3,1.5 cl,Ketel One Vodka,1.5 cl,De Kuyper Triple Sec (40%),1.5 cl,Lemon juice (freshly squeezed),,,,,,,,,,,,,,
long-island-iced-tea,Long Island Iced Tea,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Lemon twist,9,1.25 cl,Bacardi Carta Blanca light rum,1.25 cl,Rutte Dry Gin,1.25 cl,Ketel One Vodka,1.25 cl,Patrón Silver blanco tequila,1.25 cl,De Kuyper Triple Sec (40%),1.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.25 cl,Lemon juice (freshly squeezed),1.25 cl,Lime juice (freshly squeezed),6 cl,Cola (e.g. Coca Cola & Pepsi Cola),,
martinez,Martinez,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,6 cl,Rutte Old Simon Genever,3 cl,Martini Rosso sweet vermouth,0.75 cl,Martini Extra Dry vermouth,0.75 cl,Orange Curaçao liqueur,1 dash,Angostura Aromatic Bitters,,,,,,,,,,
mary-pickford,Mary Pickford,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Luxardo cherry,4,6 cl,Havana Club 3 Year Old rum,4.5 cl,Pineapple juice (fresh pressed),0.5 cl,Luxardo Maraschino liqueur,0.5 cl,Giffard Grenadine syrup,,,,,,,,,,,,
monkey-gland,Monkey Gland,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,6 cl,Rutte Dry Gin,2 cl,Orange juice (freshly squeezed),0.5 cl,Giffard Grenadine syrup,0.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",3 dash,La Fée Parisienne absinthe (omit for Cocktails Made Easy),,,,,,,,,,
morning-glory-fizz,Morning Glory Fizz,3,Highball (max 10oz/300ml),Dry shake all ingredients without ice. Shake again with ice. Strain into glass. Top with soda.,Lime wheel,7,6 cl,Speyside single malt Scotch whisky (from freezer),0.25 cl,La Fée Parisienne absinthe,2 cl,Lemon juice (freshly squeezed),1 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",2 cl,Pasteurised egg white,Top up with,Thomas Henry Soda Water,,,,,,
mulled-wine,Mulled Wine,3,Toddy glass,Build in warmed glass. Add ingredients in order. Float cream on top.,Cinnamon stick,10,5 dried,Clove,1 pinch,Freshly grated nutmeg,1 pinch,Cinnamon powder,4.5 cl,Tawny port,4.5 cl,Shiraz red wine,1 wedge,Orange (fresh fruit),1.5 cl,Lemon juice (freshly squeezed),2 spoon,Honey,1.5 cl,Grand Marnier or other cognac orange liqueur,Top up with,Boiling water
new-york-sour,New York Sour,3,Old-fashioned glass,Dry shake all ingredients without ice. Shake again with ice. Strain into chilled glass.,Lemon twist,6,6 cl,Bourbon whiskey,3 cl,Lemon juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1 dash,Angostura Aromatic Bitters,1.5 cl,Pasteurised egg white (optional),1.5 cl,Claret red wine,,,,,,,,
old-cuban,Old Cuban,3,Coupe glass,Muddle mint and sugar gently in shaker. Add remaining ingredients. Shake with ice. Fine strain into glass.,Mint sprig,6,6 fresh,Mint leaves,4.5 cl,Havana Club 7yo rum,2.25 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",2 dash,Angostura Aromatic Bitters,2.25 cl,Brut Champagne,,,,,,,,
paradise,Paradise,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,4,4.5 cl,Rutte Dry Gin,2.25 cl,De Kuyper Apricot Brandy liqueur,2.25 cl,Orange juice (freshly squeezed),2 dash,Orange Bitters by Angostura,,,,,,,,,,,,
pisco-sour,Pisco Sour,3,Goblet glass,Dry shake all ingredients without ice. Shake again with ice. Strain into chilled glass.,Lime wheel,4,3 cl,Lime juice (freshly squeezed),6 spoon,Powdered sugar (ground in mortar and pestle),6 cl,BarSol Mosto Verde Italia Pisco,1.5 cl,Pasteurised egg white,,,,,,,,,,,,
planters-punch,Planter's Punch,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Orange twist,5,4.5 cl,Overproof pot still rum,3 cl,Lime juice (freshly squeezed),1.5 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",6 cl,Chilled water,3 dash,Angostura Aromatic Bitters,,,,,,,,,,
ramos-gin-fizz,Ramos Gin Fizz,3,Collins glass,Dry shake all ingredients without ice. Shake again with ice. Strain into glass. Top with soda.,Orange twist,9,6 cl,Portobello Old Tom gin,1.5 cl,Lemon juice (freshly squeezed),1.5 cl,Lime juice (freshly squeezed),2.25 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",0.125 cl,Orange flower/blossom water,3 drop,Vanilla extract (optional),2.25 cl,Pasteurised egg white,2.25 cl,Single cream / half-and-half,Top up with,Thomas Henry Soda Water,,
rob-roy,Rob Roy,3,Coupe glass,Stir all ingredients over ice. Strain into glass.,Orange twist,3,5 cl,Dewar's 12 Year Old Scotch whisky,3 cl,Martini Rosso sweet vermouth,2 dash,Bob's Abbotts bitters,,,,,,,,,,,,,,
rose-cocktail,Rose,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Luxardo cherry,3,6 cl,Noilly Prat Extra Dry Vermouth,3 cl,Kirschwasser (cherry) eau-de-vie,1⁄2 spoon,Raspberry (framboise) sugar syrup,,,,,,,,,,,,,,
rusty-nail,Rusty Nail,3,Old-fashioned glass,Stir all ingredients over ice. Strain into glass.,Lemon twist,2,4.5 cl,Dewar's 12 Year Old Scotch whisky,1.5 cl,Drambuie liqueur,,,,,,,,,,,,,,,,
scorpion,Scorpion,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Orange twist,5,4.5 cl,Havana Club 3 Year Old rum,2.25 cl,Rémy Martin 1738 Cognac,6 cl,Orange juice (freshly squeezed),3 cl,Lemon juice (freshly squeezed),1.5 cl,Giffard Orgeat Syrup,,,,,,,,,,
sex-on-the-beach,Sex on the Beach,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Orange twist,6,2 cl,Peachtree peach schnapps,3 cl,Orange juice (freshly squeezed),3 cl,Pineapple juice (fresh pressed),4.5 cl,Ketel One Vodka,3 cl,Cranberry juice (sweetened),1.5 cl,Giffard Framboise de Ronce (raspberry liqueur),,,,,,,,
singapore-sling,Singapore Sling,3,Sling glass,Shake base ingredients with ice. Strain into glass. Top with soda.,Lemon twist,7,6 cl,Portobello Old Tom gin,1.5 cl,Bénédictine D.O.M.,1.5 cl,Cherry Heering cherry brandy liqueur,3 cl,Lemon juice (freshly squeezed),2 dash,Angostura Aromatic Bitters,2 dash,Orange Bitters by Angostura,Top up with,Thomas Henry Soda Water,,,,,,
stinger,Stinger,3,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Mint sprig,2,6 cl,Rémy Martin 1738 Cognac,2.25 cl,Giffard Menthe Pastille white crème de menthe,,,,,,,,,,,,,,,,
tequila-sunrise,Tequila Sunrise,3,Collins glass,Build ingredients directly in glass over ice. Stir gently.,Lime wheel,6,0.5 cl,Giffard Grenadine syrup,0.5 cl,Giffard Noir de Bourgogne Cassis,4.5 cl,Patrón Reposado tequila,2.25 cl,Orange Curaçao liqueur,1.5 cl,Lime juice (freshly squeezed),7.5 cl,Orange juice (freshly squeezed),,,,,,,,
tuxedo,Tuxedo,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,6,4.5 cl,Portobello Old Tom gin,4.5 cl,Martini Extra Dry vermouth,1 dash,Luxardo Maraschino liqueur,1 dash,La Fée Parisienne absinthe,2 dash,Orange Bitters by Angostura,2 dash,Angostura Aromatic Bitters,,,,,,,,
vesper,Vesper,3,Martini glass,Shake all ingredients with ice. Strain into chilled glass.,Lemon twist,4,6 cl,Rutte Dry Gin,2 cl,Ketel One Vodka,0.5 cl,Kina aromatised wine,0.5 cl,Lillet Blanc (or other aromatized wine),,,,,,,,,,,,
ward-eight,Ward Eight,3,Coupe glass,Shake all ingredients with ice. Strain into chilled glass.,Orange twist,5,6 cl,Straight rye whiskey (100 proof / 50% alc./vol.),2.25 cl,Lemon juice (freshly squeezed),2.25 cl,Orange juice (freshly squeezed),0.75 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",0.5 cl,Giffard Grenadine syrup,,,,,,,,,,
whisky-mac,Whisky Mac,3,Old-fashioned glass,Stir all ingredients over ice. Strain into glass over fresh ice.,Candied ginger,2,4.5 cl,Dewar's 12 Year Old Scotch whisky,3 cl,Stone's Original Green Ginger Wine,,,,,,,,,,,,,,,,
white-lady,White Lady,3,Coupe glass,Dry shake all ingredients without ice. Shake again with ice. Strain into chilled glass.,Lemon twist,5,4.5 cl,Rutte Dry Gin,2.25 cl,De Kuyper Triple Sec (40%),2.25 cl,Lemon juice (freshly squeezed),1 cl,"Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)",1.5 cl,Pasteurised egg white (optional),,,,,,,,,,
white-russian,White Russian,3,Old-fashioned glass,Shake all ingredients vigorously with ice. Fine strain into glass.,Fresh nutmeg,3,6 cl,Ketel One Vodka,3 cl,Coffee liqueur,3 cl,Single cream / half-and-half,,,,,,,,,,,,,,
zombie,Zombie,3,Collins glass,Blend all ingredients with crushed ice until smooth. Pour into glass.,Mint sprig,9,3 cl,Overproof pot still rum,4.5 cl,Havana Club 3 Year Old rum,2 cl,Overproof aged rum,1.5 cl,Difford's Falernum liqueur,0.125 cl,Pernod anise,3 cl,Pineapple juice (fresh pressed),2 cl,Lime juice (freshly squeezed),1 cl,Grapefruit juice (pink),0.5 cl,Giffard Grenadine syrup,,
